param_x_name,param_x_value,param_y_name,param_y_value,seed,joint_pass_fraction,first_failed_signature,failure_mode,joint_protected_pass,SIG_A_score,SIG_A_sd,SIG_A_protected_pass,SIG_B_score,SIG_B_sd,SIG_B_protected_pass,SIG_C_score,SIG_C_sd,SIG_C_protected_pass,SIG_D_score,SIG_D_sd,SIG_D_protected_pass,SIG_E_score,SIG_E_sd,SIG_E_protected_pass
structural_noise,0.0,replay_gain,0.0,multi,0.0,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,0.0,False,-0.017974996819294375,0.0,False,0.14801320585098252,0.0,True,19.21182983448674,0.0,True,0.0,0.0,False
structural_noise,0.0,replay_gain,0.0,0,,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,,False,-0.017974996819294375,,False,0.14801320585098252,,True,19.21182983448674,,True,0.0,,False
structural_noise,0.0,replay_gain,0.0,1,,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,,False,-0.017974996819294375,,False,0.14801320585098252,,True,19.21182983448674,,True,0.0,,False
structural_noise,0.0,replay_gain,0.0,2,,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,,False,-0.017974996819294375,,False,0.14801320585098252,,True,19.21182983448674,,True,0.0,,False
structural_noise,0.0,replay_gain,0.0,3,,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,,False,-0.017974996819294375,,False,0.14801320585098252,,True,19.21182983448674,,True,0.0,,False
structural_noise,0.0,replay_gain,0.0,4,,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,,False,-0.017974996819294375,,False,0.14801320585098252,,True,19.21182983448674,,True,0.0,,False
structural_noise,0.0,replay_gain,0.0,42,,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,,False,-0.017974996819294375,,False,0.14801320585098252,,True,19.21182983448674,,True,0.0,,False
structural_noise,0.0,replay_gain,0.0,101,,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,,False,-0.017974996819294375,,False,0.14801320585098252,,True,19.21182983448674,,True,0.0,,False
structural_noise,0.0,replay_gain,0.0,202,,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,,False,-0.017974996819294375,,False,0.14801320585098252,,True,19.21182983448674,,True,0.0,,False
structural_noise,0.0,replay_gain,0.0,303,,SIG_A,SIG_A;SIG_B;SIG_E,False,0.0,,False,-0.017974996819294375,,False,0.14801320585098252,,True,19.21182983448674,,True,0.0,,False
